player_id,firstName,lastName,pos_F,pos_D,pos_G,hand_R,hand_L
8477962,Brendan,Lemieux,1,0,0,0,1
8477359,Tucker,Poolman,0,0,0,1,0
8476945,Connor,Hellebuyck,0,0,1,0,1
8477429,Andrew,Copp,1,0,0,0,1
8477448,Marko,Dano,1,0,0,0,1
8468611,Matt,Hendricks,1,0,0,0,1
8476460,Mark,Scheifele,1,0,0,1,0
8470828,Toby,Enstrom,0,0,0,0,1
8476469,Joel,Armia,1,0,0,1,0
8477940,Nikolaj,Ehlers,1,0,0,0,1
8471669,Paul,Stastny,1,0,0,0,1
8477480,Eric,Comrie,0,0,1,0,1
8477464,Nic,Petan,1,0,0,0,1
8475279,Ben,Chiarot,0,0,0,0,1
8477504,Josh,Morrissey,0,0,0,0,1
8473412,Bryan,Little,1,0,0,1,0
8473574,Shawn,Matthias,1,0,0,0,1
8475179,Dmitry,Kulikov,0,0,0,0,1
8476885,Jacob,Trouba,0,0,0,1,0
8479293,Brandon,Tanev,1,0,0,0,1
8474636,Michael,Hutchinson,0,0,1,1,0
8479339,Patrik,Laine,1,0,0,1,0
8473618,Mathieu,Perreault,1,0,0,0,1
8470834,Dustin,Byfuglien,0,0,0,1,0
8478398,Kyle,Connor,1,0,0,0,1
8476392,Adam,Lowry,1,0,0,0,1
8478458,Jack,Roslovic,1,0,0,1,0
8471218,Blake,Wheeler,1,0,0,1,0
8476476,Joe,Morrow,0,0,0,0,1
8474574,Tyler,Myers,0,0,0,1,0
8478915,Sami,Niku,0,0,0,0,1
8473461,Steve,Mason,0,0,1,1,0
