player_id,firstName,lastName,pos_F,pos_D,pos_G,hand_R,hand_L
8474009,Nick,Bonino,1,0,0,0,1
8473618,Mathieu,Perreault,1,0,0,0,1
8467400,Francois,Beauchemin,0,0,0,0,1
8476483,Rickard,Rakell,1,0,0,1,0
8471241,Mark,Fistric,0,0,0,0,1
8475151,Kyle,Palmieri,1,0,0,1,0
8475164,Jakob,Silfverberg,1,0,0,1,0
8467332,Bryan,Allen,0,0,0,0,1
8473933,Ben,Lovejoy,0,0,0,1,0
8467910,Nolan,Yonkman,0,0,0,1,0
8476839,Viktor,Fasth,0,0,1,0,1
8459442,Saku,Koivu,1,0,0,0,1
8457981,Teemu,Selanne,1,0,0,1,0
8471476,Daniel,Winnik,1,0,0,0,1
8475764,Cam,Fowler,0,0,0,0,1
8476434,John,Gibson,0,0,1,0,1
8473492,Matt,Beleskey,1,0,0,0,1
8475770,Emerson,Etem,1,0,0,0,1
8475180,Peter,Holland,1,0,0,0,1
8471208,Dustin,Penner,1,0,0,0,1
8475758,Devante,Smith-Pelly,1,0,0,1,0
8469483,David,Steckel,1,0,0,0,1
8470612,Ryan,Getzlaf,1,0,0,1,0
8475883,Frederik,Andersen,0,0,1,0,1
8471699,Andrew,Cogliano,1,0,0,0,1
8474034,Patrick,Maroon,1,0,0,0,1
8470621,Corey,Perry,1,0,0,1,0
8474005,Alex,Grant,0,0,0,1,0
8476854,Hampus,Lindholm,0,0,0,0,1
8462196,Stephane,Robidas,0,0,0,1,0
8474579,Luca,Sbisa,0,0,0,0,1
8475222,Sami,Vatanen,0,0,0,1,0
8469490,Tim,Jackman,1,0,0,1,0
8473972,Jonas,Hiller,0,0,1,1,0
8470626,Loui,Eriksson,1,0,0,0,1
8467967,Chris,Kelly,1,0,0,0,1
8471262,Carl,Soderberg,1,0,0,0,1
8476792,Torey,Krug,0,0,0,0,1
8462042,Jarome,Iginla,1,0,0,1,0
8473434,Chad,Johnson,0,0,1,0,1
8471695,Tuukka,Rask,0,0,1,0,1
8471717,Adam,McQuaid,0,0,0,1,0
8476191,Kevan,Miller,0,0,0,1,0
8470638,Patrice,Bergeron,1,0,0,1,0
8471280,Nick,Johnson,1,0,0,1,0
8473419,Brad,Marchand,1,0,0,0,1
8465009,Zdeno,Chara,0,0,0,0,1
8475414,Craig,Cunningham,1,0,0,1,0
8475845,Justin,Florek,1,0,0,0,1
8465978,Shawn,Thornton,1,0,0,1,0
8470187,Johnny,Boychuk,0,0,0,1,0
8470714,Corey,Potter,0,0,0,1,0
8475902,Zach,Trotman,0,0,0,1,0
8476844,Niklas,Svedberg,0,0,1,0,1
8470169,Gregory,Campbell,1,0,0,0,1
8474749,Matt,Bartkowski,0,0,0,0,1
8471236,Andrej,Meszaros,0,0,0,0,1
8476435,Alex,Khokhlachev,1,0,0,0,1
8471276,David,Krejci,1,0,0,1,0
8477228,Matt,Lindblad,1,0,0,0,1
8470230,Daniel,Paille,1,0,0,0,1
8475727,Ryan,Spooner,1,0,0,0,1
8476462,Dougie,Hamilton,0,0,0,1,0
8469619,Dennis,Seidenberg,0,0,0,0,1
8474660,David,Warsofsky,0,0,0,0,1
8475150,Jordan,Caron,1,0,0,0,1
8475671,Matt,Fraser,1,0,0,0,1
8473473,Milan,Lucic,1,0,0,0,1
8475191,Reilly,Smith,1,0,0,0,1
8471388,Patrick,Kaleta,1,0,0,1,0
8475321,Phil,Varone,1,0,0,0,1
8476931,Jake,McCabe,0,0,0,0,1
8473607,Michal,Neuvirth,0,0,1,0,1
8474609,Luke,Adam,1,0,0,0,1
8470685,Alexander,Sulzer,0,0,0,0,1
8466182,Henrik,Tallinder,0,0,0,0,1
8477507,Nikita,Zadorov,0,0,0,0,1
8476195,Cory,Conacher,1,0,0,0,1
8474130,Corey,Tropp,1,0,0,1,0
8473523,Jhonas,Enroth,0,0,1,0,1
8476888,Mikhail,Grigorenko,1,0,0,0,1
8469820,Zenon,Konopka,1,0,0,0,1
8470852,Matt,Moulson,1,0,0,0,1
8468505,Steve,Ott,1,0,0,0,1
8470018,Matt,Ellis,1,0,0,0,1
8474589,Tyler,Ennis,1,0,0,0,1
8476808,Brian,Flynn,1,0,0,1,0
8475728,Johan,Larsson,1,0,0,0,1
8473722,John,Scott,1,0,0,0,1
8471226,Drew,Stafford,1,0,0,1,0
8475303,Connor,Knapp,0,0,1,0,1
8474551,Ville,Leino,1,0,0,0,1
8469591,Cody,McCormick,1,0,0,1,0
8474059,Linus,Omark,1,0,0,0,1
8473485,Chris,Stewart,1,0,0,1,0
8469555,Christian,Ehrhoff,0,0,0,0,1
8475188,Brayden,McNabb,0,0,0,0,1
8476319,Nathan,Lieuwen,0,0,1,0,1
8475235,Nicolas,Deslauriers,1,0,0,0,1
8476878,Zemgus,Girgensons,1,0,0,0,1
8474570,Cody,Hodgson,1,0,0,1,0
8471338,Torrey,Mitchell,1,0,0,1,0
8470598,Thomas,Vanek,1,0,0,1,0
8473571,Jamie,McBain,0,0,0,1,0
8474574,Tyler,Myers,0,0,0,1,0
8477499,Rasmus,Ristolainen,0,0,0,1,0
8477244,Chad,Ruhwedel,0,0,0,1,0
8471851,Matt,D'Agostini,1,0,0,1,0
8475220,Marcus,Foligno,1,0,0,0,1
