season,team,player_id,headshot,firstName,lastName,positionCode,shootsCatches,sweaterNumber,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthCountry,birthStateProvince,pos_F,pos_D,pos_G,hand_R,hand_L
2015,ANA,8473492,https://assets.nhle.com/mugs/nhl/20142015/ANA/8473492.png,Matt,Beleskey,L,L,39,72,207,183,94,1988-06-07,Windsor,CAN,ON,1,0,0,0,1
2015,ANA,8471504,https://assets.nhle.com/mugs/nhl/20142015/ANA/8471504.png,Rene,Bourque,L,L,14,74,217,188,98,1981-12-10,Lac La Biche,CAN,AB,1,0,0,0,1
2015,ANA,8471699,https://assets.nhle.com/mugs/nhl/20142015/ANA/8471699.png,Andrew,Cogliano,L,L,7,70,179,178,81,1987-06-14,Toronto,CAN,ON,1,0,0,0,1
2015,ANA,8475770,https://assets.nhle.com/mugs/nhl/20142015/ANA/8475770.png,Emerson,Etem,L,L,26,73,212,185,96,1992-06-16,Long Beach,USA,CA,1,0,0,0,1
2015,ANA,8470039,https://assets.nhle.com/mugs/nhl/20142015/ANA/8470039.png,Tomas,Fleischmann,L,L,14,73,192,185,87,1984-05-16,Koprivnice,CZE,"",1,0,0,0,1
2015,ANA,8476384,https://assets.nhle.com/mugs/nhl/20142015/ANA/8476384.png,Max,Friberg,L,R,43,71,200,180,91,1992-11-20,Skovde,SWE,"",1,0,0,1,0
2015,ANA,8470612,https://assets.nhle.com/mugs/nhl/20142015/ANA/8470612.png,Ryan,Getzlaf,C,R,15,76,220,193,100,1985-05-10,Regina,CAN,SK,1,0,0,1,0
2015,ANA,8468482,https://assets.nhle.com/mugs/nhl/20142015/ANA/8468482.png,Dany,Heatley,L,L,51,75,212,191,96,1981-01-21,Freiburg,DEU,"",1,0,0,0,1
2015,ANA,8469490,https://assets.nhle.com/mugs/nhl/20142015/ANA/8469490.png,Tim,Jackman,R,R,18,74,225,188,102,1981-11-14,Minot,USA,ND,1,0,0,1,0
2015,ANA,8476448,https://assets.nhle.com/mugs/nhl/20142015/ANA/8476448.png,William,Karlsson,C,L,38,72,190,183,86,1993-01-08,Marsta,SWE,"",1,0,0,0,1
2015,ANA,8470616,https://assets.nhle.com/mugs/nhl/20142015/ANA/8470616.png,Ryan,Kesler,C,R,17,74,206,188,93,1984-08-31,Livonia,USA,MI,1,0,0,1,0
2015,ANA,8474034,https://assets.nhle.com/mugs/nhl/20142015/ANA/8474034.png,Patrick,Maroon,L,L,19,75,234,191,106,1988-04-23,St. Louis,USA,MO,1,0,0,0,1
2015,ANA,8476474,https://assets.nhle.com/mugs/nhl/20142015/ANA/8476474.png,Stefan,Noesen,R,R,64,73,205,185,93,1993-02-12,Plano,USA,TX,1,0,0,1,0
2015,ANA,8475151,https://assets.nhle.com/mugs/nhl/20142015/ANA/8475151.png,Kyle,Palmieri,R,R,21,71,198,180,90,1991-02-01,Smithtown,USA,NY,1,0,0,1,0
2015,ANA,8470621,https://assets.nhle.com/mugs/nhl/20142015/ANA/8470621.png,Corey,Perry,R,R,10,75,208,191,94,1985-05-16,Peterborough,CAN,ON,1,0,0,1,0
2015,ANA,8476483,https://assets.nhle.com/mugs/nhl/20142015/ANA/8476483.png,Rickard,Rakell,L,R,67,73,195,185,88,1993-05-05,Sundbyberg,SWE,"",1,0,0,1,0
2015,ANA,8478137,https://assets.nhle.com/mugs/nhl/20142015/ANA/8478137.png,Jiri,Sekac,L,L,46,73,185,185,84,1992-06-10,Kladno,CZE,"",1,0,0,0,1
2015,ANA,8475164,https://assets.nhle.com/mugs/nhl/20142015/ANA/8475164.png,Jakob,Silfverberg,R,R,33,73,207,185,94,1990-10-13,Gavle,SWE,"",1,0,0,1,0
2015,ANA,8475758,https://assets.nhle.com/mugs/nhl/20142015/ANA/8475758.png,Devante,Smith-Pelly,R,R,12,72,223,183,101,1992-06-14,Scarborough,CAN,ON,1,0,0,1,0
2015,ANA,8470775,https://assets.nhle.com/mugs/nhl/20142015/ANA/8470775.png,Nate,Thompson,C,L,44,73,205,185,93,1984-10-05,Anchorage,USA,AK,1,0,0,0,1
2015,ANA,8475780,https://assets.nhle.com/mugs/nhl/20142015/ANA/8475780.png,Chris,Wagner,C,R,21,72,192,183,87,1991-05-27,Walpole,USA,MA,1,0,0,1,0
2015,ANA,8467332,https://assets.nhle.com/mugs/nhl/20142015/ANA/8467332.png,Bryan,Allen,D,L,5,77,223,196,101,1980-08-21,Kingston,CAN,ON,0,0,0,0,1
2015,ANA,8467400,https://assets.nhle.com/mugs/nhl/20142015/ANA/8467400.png,Francois,Beauchemin,D,L,23,71,208,180,94,1980-06-04,Sorel,CAN,QC,0,0,0,0,1
2015,ANA,8475203,https://assets.nhle.com/mugs/nhl/20142015/ANA/8475203.png,Jesse,Blacker,D,R,77,73,190,185,86,1991-04-19,Toronto,CAN,ON,0,0,0,1,0
2015,ANA,8466142,https://assets.nhle.com/mugs/nhl/20142015/ANA/8466142.png,Eric,Brewer,D,L,2,76,216,193,98,1979-04-17,Vernon,CAN,BC,0,0,0,0,1
2015,ANA,8475162,https://assets.nhle.com/mugs/nhl/20142015/ANA/8475162.png,Mat,Clark,D,R,37,75,225,191,102,1990-10-17,Wheat Ridge,USA,CO,0,0,0,1,0
2015,ANA,8475155,https://assets.nhle.com/mugs/nhl/20142015/ANA/8475155.png,Simon,Despres,D,L,6,76,218,193,99,1991-07-27,Laval,CAN,QC,0,0,0,0,1
2015,ANA,8471241,https://assets.nhle.com/mugs/nhl/20142015/ANA/8471241.png,Mark,Fistric,D,L,28,74,225,188,102,1986-06-01,Edmonton,CAN,AB,0,0,0,0,1
2015,ANA,8475764,https://assets.nhle.com/mugs/nhl/20142015/ANA/8475764.png,Cam,Fowler,D,L,4,74,215,188,98,1991-12-05,Windsor,CAN,ON,0,0,0,0,1
2015,ANA,8476854,https://assets.nhle.com/mugs/nhl/20142015/ANA/8476854.png,Hampus,Lindholm,D,L,47,76,215,193,98,1994-01-20,Helsingborg,SWE,"",0,0,0,0,1
2015,ANA,8473933,https://assets.nhle.com/mugs/nhl/20142015/ANA/8473933.png,Ben,Lovejoy,D,R,6,73,205,185,93,1984-02-20,Concord,USA,NH,0,0,0,1,0
2015,ANA,8476312,https://assets.nhle.com/mugs/nhl/20142015/ANA/8476312.png,Josh,Manson,D,R,42,75,218,191,99,1991-10-07,Hinsdale,USA,IL,0,0,0,1,0
